app_name,count,mean,positive_rate,weighted_score
Knock-knock,299,0.68561872909699,0.842809364548495,0.7812399709094809
Knytt Underground,183,0.7814207650273224,0.8907103825136612,0.8094129457983549
Koala Kids,30,0.6666666666666666,0.8333333333333334,0.7147744388420942
Kodon,41,0.6097560975609756,0.8048780487804879,0.7059135500044682
Kohan II: Kings of War,42,0.8095238095238095,0.9047619047619048,0.7743021286482364
Kohan: Ahriman's Gift,26,0.8461538461538461,0.9230769230769231,0.7662083632297161
Kohan: Immortal Sovereigns,24,0.75,0.875,0.7326985278602314
Koi-Koi Japan [Hanafuda playing cards],182,0.8901098901098901,0.945054945054945,0.8522976684310318
Koihime Enbu,62,0.7419354838709677,0.8709677419354839,0.7643865264607503
Kokurase,10,1.0,1.0,0.7570708845427101
Kombine,9,0.3333333333333333,0.6666666666666666,0.5833333333333333
Konrad the Kitten - a virtual but real cat,8,0.75,0.875,0.6814578107542375
Konung 2,8,0.0,0.5,0.5
Konung 3: Ties of the Dynasty,8,0.25,0.625,0.5604859369180792
Kopanito All-Stars Soccer,275,0.5563636363636364,0.7781818181818182,0.7269497496796147
Korwin The Game,20,0.3,0.65,0.5900121094390052
Koya Rift,22,-0.45454545454545453,0.2727272727272727,0.3611627245380287
Krai Mira: Extended Cut,45,0.3333333333333333,0.6666666666666666,0.6140275289158084
Krater,363,0.11294765840220386,0.5564738292011019,0.5469045572380278
Krautscape,135,0.5111111111111111,0.7555555555555555,0.6973149183050832
Kraven Manor,151,0.47019867549668876,0.7350993377483444,0.6832848701651653
Krinkle Krusher,2,-1.0,,
Krita,28,0.7142857142857143,0.8571428571428571,0.7275394837687255
Kromaia,63,0.6190476190476191,0.8095238095238095,0.7210163832130291
Krosmaster Arena,88,0.20454545454545456,0.6022727272727273,0.5757916912528153
Ku: Shroud of the Morrigan,55,-0.6,0.2,0.28930262409813523
Kuboom,493,-0.3225152129817444,0.33874239350912777,0.363666959092772
Kubz VR,9,0.5555555555555556,0.7777777777777778,0.6388888888888888
